                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.49099,                0.25286,                0.78558,                0.98762,                0.98425,                0.99373,                0.79955,                 0.7714,                0.31865,                0.81128,                0.03268,                0.00068,                0.00068
                      2,                0.48446,                0.24501,                0.78614,                0.98713,                0.98446,                0.99368,                0.79762,                0.77468,                0.32419,                0.81186,              0.0009901,              0.0009901,              0.0009901
                      3,                0.49389,                0.25222,                0.78567,                0.98903,                0.98266,                0.99371,                0.79565,                0.78024,                0.33042,                0.81228,              0.0009802,              0.0009802,              0.0009802
                      4,                0.48719,                0.24762,                0.78706,                 0.9878,                0.98411,                0.99372,                0.79999,                0.77424,                0.32209,                0.81137,              0.0009703,              0.0009703,              0.0009703
                      5,                0.47472,                0.24058,                0.78622,                0.98722,                0.98411,                0.99364,                0.80134,                0.76958,                0.31671,                0.81189,              0.0009604,              0.0009604,              0.0009604
                      6,                0.47142,                0.23579,                0.78503,                0.98668,                0.98367,                0.99364,                0.80073,                0.76946,                0.31606,                0.81179,              0.0009505,              0.0009505,              0.0009505
                      7,                0.47096,                 0.2348,                0.78557,                0.98753,                0.98369,                0.99375,                0.79966,                0.77519,                0.31384,                0.81246,              0.0009406,              0.0009406,              0.0009406
                      8,                0.46716,                0.23324,                0.78533,                0.98703,                0.98371,                0.99372,                0.79972,                0.77363,                0.31309,                0.81225,              0.0009307,              0.0009307,              0.0009307
                      9,                0.46242,                0.23049,                0.78483,                0.98634,                0.98491,                0.99372,                0.79788,                0.77887,                0.31547,                0.81281,              0.0009208,              0.0009208,              0.0009208
                     10,                 0.4586,                 0.2297,                0.78521,                 0.9887,                0.98235,                0.99373,                0.79746,                0.77948,                0.31395,                0.81279,              0.0009109,              0.0009109,              0.0009109
                     11,                0.45717,                0.22831,                0.78491,                0.98976,                0.98132,                 0.9937,                0.79845,                0.77483,                0.31271,                0.81232,               0.000901,               0.000901,               0.000901
                     12,                0.45923,                0.23142,                0.78436,                0.98925,                0.98215,                 0.9938,                0.79826,                0.77555,                 0.3132,                0.81244,              0.0008911,              0.0008911,              0.0008911
                     13,                0.45612,                 0.2294,                  0.783,                0.98845,                0.98321,                0.99373,                0.79975,                0.77037,                0.31238,                 0.8116,              0.0008812,              0.0008812,              0.0008812
                     14,                0.45616,                0.22864,                 0.7842,                0.98736,                0.98352,                0.99368,                0.79936,                0.77034,                0.31342,                0.81138,              0.0008713,              0.0008713,              0.0008713
                     15,                0.44911,                0.22725,                0.78444,                0.98539,                0.98492,                0.99373,                0.79993,                0.76701,                0.31184,                0.81109,              0.0008614,              0.0008614,              0.0008614
                     16,                0.45636,                0.22954,                0.78406,                0.98916,                0.98173,                0.99379,                0.80061,                0.76797,                0.31208,                0.81122,              0.0008515,              0.0008515,              0.0008515
                     17,                0.45552,                0.23011,                0.78398,                0.98902,                0.98152,                0.99376,                0.80077,                0.76723,                0.31346,                0.81098,              0.0008416,              0.0008416,              0.0008416
                     18,                 0.4503,                0.22816,                0.78287,                 0.9874,                0.98316,                0.99376,                0.80022,                0.76759,                0.31218,                0.81119,              0.0008317,              0.0008317,              0.0008317
                     19,                0.44866,                0.22676,                0.78397,                0.98831,                0.98303,                0.99376,                0.80076,                0.76668,                0.31162,                0.81129,              0.0008218,              0.0008218,              0.0008218
                     20,                 0.4536,                0.22886,                0.78353,                 0.9878,                0.98307,                 0.9937,                0.80136,                0.76522,                0.30986,                0.81131,              0.0008119,              0.0008119,              0.0008119
                     21,                0.45034,                0.22682,                0.78437,                0.98678,                0.98406,                0.99367,                0.80121,                0.76641,                0.30975,                0.81147,               0.000802,               0.000802,               0.000802
                     22,                0.44225,                0.22359,                0.78336,                0.98788,                0.98347,                0.99376,                0.80111,                0.76565,                0.31039,                0.81154,              0.0007921,              0.0007921,              0.0007921
                     23,                0.44933,                 0.2265,                0.78466,                0.98709,                0.98434,                 0.9937,                0.79999,                0.77246,                0.31268,                0.81207,              0.0007822,              0.0007822,              0.0007822
                     24,                0.44664,                 0.2275,                0.78177,                0.98948,                0.98235,                0.99373,                0.79964,                0.77192,                 0.3112,                0.81198,              0.0007723,              0.0007723,              0.0007723
                     25,                0.44615,                0.22472,                0.78368,                 0.9884,                 0.9824,                0.99369,                0.79904,                0.77512,                0.31063,                0.81206,              0.0007624,              0.0007624,              0.0007624
                     26,                0.44056,                 0.2228,                0.78378,                0.98674,                0.98466,                0.99367,                0.80002,                0.76975,                0.31088,                 0.8117,              0.0007525,              0.0007525,              0.0007525
                     27,                0.44357,                0.22345,                0.78327,                0.98706,                0.98478,                0.99371,                0.80023,                 0.7679,                0.31162,                0.81149,              0.0007426,              0.0007426,              0.0007426
                     28,                0.44577,                0.22625,                0.78388,                0.98744,                0.98434,                0.99373,                0.80012,                0.76877,                0.31447,                 0.8115,              0.0007327,              0.0007327,              0.0007327
                     29,                0.44664,                0.22617,                 0.7833,                0.98789,                0.98459,                 0.9938,                0.80069,                0.76859,                0.31446,                0.81153,              0.0007228,              0.0007228,              0.0007228
                     30,                0.44073,                0.22441,                0.78378,                0.98821,                0.98465,                0.99383,                0.79954,                0.77151,                0.31282,                0.81203,              0.0007129,              0.0007129,              0.0007129
                     31,                0.44734,                0.22624,                0.78198,                0.98858,                0.98424,                0.99382,                 0.8014,                0.76611,                0.31076,                0.81153,               0.000703,               0.000703,               0.000703
                     32,                0.44583,                0.22546,                0.78285,                0.98789,                0.98456,                0.99377,                0.80121,                0.76746,                0.31279,                0.81175,              0.0006931,              0.0006931,              0.0006931
                     33,                0.43939,                0.22339,                0.78466,                0.98754,                0.98451,                0.99375,                0.80091,                0.76933,                0.31153,                0.81173,              0.0006832,              0.0006832,              0.0006832
                     34,                 0.4418,                0.22354,                0.78207,                0.98781,                0.98393,                0.99368,                0.79982,                0.77427,                0.31219,                0.81223,              0.0006733,              0.0006733,              0.0006733
                     35,                0.43612,                 0.2221,                0.78164,                0.98859,                0.98314,                0.99376,                0.79987,                0.77196,                0.31171,                0.81202,              0.0006634,              0.0006634,              0.0006634
                     36,                0.43845,                0.22249,                0.78135,                0.98705,                0.98463,                0.99368,                0.79996,                0.77012,                 0.3112,                0.81166,              0.0006535,              0.0006535,              0.0006535
                     37,                0.43092,                0.21902,                 0.7826,                0.98859,                0.98289,                0.99367,                0.80097,                0.76729,                0.31055,                0.81155,              0.0006436,              0.0006436,              0.0006436
                     38,                0.42993,                0.21895,                0.78154,                0.98762,                0.98391,                0.99369,                0.79983,                 0.7683,                0.31104,                0.81159,              0.0006337,              0.0006337,              0.0006337
                     39,                0.42999,                0.21876,                0.78298,                 0.9878,                0.98429,                0.99367,                0.80046,                0.76822,                0.31119,                0.81148,              0.0006238,              0.0006238,              0.0006238
                     40,                0.43445,                0.22146,                0.78227,                0.98752,                0.98402,                 0.9937,                0.80011,                0.76707,                0.31067,                0.81156,              0.0006139,              0.0006139,              0.0006139
                     41,                0.43617,                0.22226,                 0.7807,                0.98908,                0.98222,                0.99372,                0.80078,                0.76574,                 0.3109,                0.81138,               0.000604,               0.000604,               0.000604
                     42,                0.42659,                0.21714,                0.78127,                0.98741,                0.98361,                0.99371,                 0.8012,                0.76386,                0.30886,                0.81116,              0.0005941,              0.0005941,              0.0005941
                     43,                0.43141,                0.21833,                0.78104,                0.98673,                0.98492,                 0.9937,                0.80114,                0.76405,                0.30784,                0.81151,              0.0005842,              0.0005842,              0.0005842
                     44,                0.42705,                0.21801,                0.78004,                0.98875,                0.98244,                0.99368,                0.80031,                0.76733,                0.30862,                0.81174,              0.0005743,              0.0005743,              0.0005743
                     45,                0.42933,                0.21786,                 0.7814,                0.98813,                0.98303,                0.99369,                    0.8,                0.76834,                0.30876,                0.81191,              0.0005644,              0.0005644,              0.0005644
                     46,                0.42932,                0.21751,                0.78071,                0.99074,                0.98091,                0.99374,                0.80078,                0.76608,                0.30756,                0.81169,              0.0005545,              0.0005545,              0.0005545
                     47,                0.42121,                 0.2154,                0.78074,                0.99015,                0.98215,                0.99377,                0.80112,                0.76478,                0.30705,                0.81137,              0.0005446,              0.0005446,              0.0005446
                     48,                0.42197,                 0.2146,                0.78246,                0.98855,                0.98393,                0.99372,                0.80097,                0.76393,                0.30777,                0.81145,              0.0005347,              0.0005347,              0.0005347
                     49,                0.42453,                0.21558,                0.78123,                0.98753,                0.98401,                0.99375,                0.79974,                0.76622,                0.30867,                0.81172,              0.0005248,              0.0005248,              0.0005248
                     50,                0.42248,                0.21576,                0.78033,                0.98748,                0.98377,                0.99372,                 0.7997,                0.76667,                0.30888,                0.81164,              0.0005149,              0.0005149,              0.0005149
                     51,                0.42575,                0.21663,                0.78112,                0.98731,                0.98411,                0.99371,                0.80053,                0.76595,                0.30792,                0.81161,               0.000505,               0.000505,               0.000505
                     52,                0.42189,                0.21508,                0.78124,                0.98705,                0.98492,                0.99378,                0.80159,                0.76247,                0.30715,                0.81118,              0.0004951,              0.0004951,              0.0004951
                     53,                0.42197,                0.21515,                0.78125,                0.98713,                0.98426,                0.99372,                0.79991,                0.76696,                0.30867,                0.81183,              0.0004852,              0.0004852,              0.0004852
                     54,                0.41724,                0.21326,                0.78031,                0.98749,                0.98415,                0.99369,                0.80015,                0.76801,                0.30805,                0.81204,              0.0004753,              0.0004753,              0.0004753
                     55,                0.42331,                0.21462,                0.78034,                0.98759,                 0.9842,                0.99368,                0.80092,                0.76514,                0.30705,                 0.8117,              0.0004654,              0.0004654,              0.0004654
                     56,                0.41919,                0.21338,                0.78052,                0.98703,                0.98474,                0.99371,                0.80021,                0.76676,                0.30901,                0.81168,              0.0004555,              0.0004555,              0.0004555
                     57,                 0.4212,                0.21404,                0.78084,                0.98721,                0.98406,                 0.9937,                0.79931,                0.76975,                0.30956,                0.81208,              0.0004456,              0.0004456,              0.0004456
                     58,                0.41498,                0.21267,                0.78082,                0.98736,                0.98474,                0.99373,                 0.8015,                0.76446,                0.30735,                0.81138,              0.0004357,              0.0004357,              0.0004357
                     59,                0.42112,                0.21335,                0.78035,                0.98661,                0.98557,                0.99374,                0.80172,                0.76427,                0.30795,                0.81146,              0.0004258,              0.0004258,              0.0004258
                     60,                0.41727,                0.21252,                0.78032,                0.98753,                0.98406,                0.99373,                0.80113,                0.76452,                 0.3075,                0.81142,              0.0004159,              0.0004159,              0.0004159
                     61,                0.41288,                0.21168,                 0.7805,                0.98954,                0.98235,                0.99373,                0.80101,                0.76521,                0.30809,                0.81164,               0.000406,               0.000406,               0.000406
                     62,                0.41115,                0.21148,                0.77933,                0.98859,                0.98307,                0.99372,                0.80153,                0.76485,                0.30804,                 0.8116,              0.0003961,              0.0003961,              0.0003961
                     63,                0.41422,                0.21141,                0.78243,                0.98726,                0.98411,                0.99373,                0.80054,                 0.7669,                0.30808,                0.81185,              0.0003862,              0.0003862,              0.0003862
                     64,                0.40989,                0.20976,                0.78038,                0.98673,                0.98496,                0.99372,                0.80051,                0.76629,                0.30794,                0.81184,              0.0003763,              0.0003763,              0.0003763
                     65,                0.40926,                0.21021,                0.77929,                0.98691,                0.98462,                 0.9937,                0.80079,                 0.7661,                0.30793,                0.81182,              0.0003664,              0.0003664,              0.0003664
                     66,                0.40524,                 0.2096,                0.77865,                0.98757,                0.98403,                0.99369,                 0.8008,                0.76511,                0.30774,                0.81165,              0.0003565,              0.0003565,              0.0003565
                     67,                0.41221,                0.21124,                 0.7803,                0.98762,                0.98398,                0.99376,                0.80127,                0.76536,                0.30757,                0.81169,              0.0003466,              0.0003466,              0.0003466
                     68,                0.40777,                0.20924,                0.78035,                0.98741,                0.98447,                0.99369,                0.80061,                0.76632,                0.30784,                0.81176,              0.0003367,              0.0003367,              0.0003367
                     69,                0.41231,                0.21054,                0.77913,                0.98763,                0.98393,                0.99371,                0.80048,                0.76595,                0.30891,                0.81183,              0.0003268,              0.0003268,              0.0003268
                     70,                0.40951,                 0.2103,                0.78019,                0.98748,                0.98397,                0.99374,                0.80057,                0.76616,                0.30743,                0.81195,              0.0003169,              0.0003169,              0.0003169
                     71,                0.40918,                0.20877,                0.78025,                 0.9878,                0.98411,                 0.9937,                0.80078,                0.76616,                0.30761,                0.81171,               0.000307,               0.000307,               0.000307
                     72,                0.41094,                0.20981,                0.78053,                0.98735,                0.98434,                 0.9937,                0.80045,                0.76715,                0.30728,                 0.8119,              0.0002971,              0.0002971,              0.0002971
                     73,                0.41042,                0.20925,                0.77991,                0.98727,                0.98452,                0.99371,                0.80056,                0.76586,                0.30735,                 0.8118,              0.0002872,              0.0002872,              0.0002872
                     74,                0.40431,                0.20808,                0.78033,                0.98723,                0.98487,                0.99371,                0.80017,                0.76718,                0.30797,                0.81196,              0.0002773,              0.0002773,              0.0002773
                     75,                0.40402,                0.20765,                0.78054,                0.98803,                0.98443,                0.99373,                0.80066,                0.76586,                0.30737,                0.81173,              0.0002674,              0.0002674,              0.0002674
                     76,                0.40608,                0.20878,                0.77903,                 0.9878,                0.98434,                0.99373,                0.80028,                0.76682,                0.30767,                0.81182,              0.0002575,              0.0002575,              0.0002575
                     77,                0.40531,                0.20759,                0.78124,                0.98704,                0.98514,                0.99379,                 0.8005,                0.76564,                0.30721,                0.81174,              0.0002476,              0.0002476,              0.0002476
                     78,                 0.4084,                0.20785,                0.78045,                0.98679,                0.98528,                0.99372,                0.80037,                0.76688,                0.30786,                0.81199,              0.0002377,              0.0002377,              0.0002377
                     79,                0.40397,                 0.2085,                0.77994,                0.98794,                0.98445,                0.99374,                0.80039,                0.76659,                0.30653,                0.81194,              0.0002278,              0.0002278,              0.0002278
                     80,                0.40454,                0.20728,                0.78004,                0.98723,                0.98466,                0.99372,                0.80111,                0.76651,                0.30746,                0.81191,              0.0002179,              0.0002179,              0.0002179
                     81,                0.40229,                 0.2067,                0.77997,                0.98697,                0.98478,                0.99373,                0.80075,                0.76535,                0.30652,                0.81185,               0.000208,               0.000208,               0.000208
                     82,                0.40616,                0.20801,                0.77888,                 0.9905,                0.98124,                0.99373,                0.80053,                0.76581,                0.30708,                0.81196,              0.0001981,              0.0001981,              0.0001981
                     83,                0.40563,                0.20731,                0.78064,                0.98665,                0.98517,                0.99373,                0.80047,                0.76559,                 0.3072,                0.81174,              0.0001882,              0.0001882,              0.0001882
                     84,                0.40665,                0.20933,                0.77903,                0.98709,                0.98436,                0.99364,                0.80034,                0.76573,                0.30668,                0.81192,              0.0001783,              0.0001783,              0.0001783
                     85,                0.40201,                0.20613,                0.78068,                0.98712,                0.98483,                0.99372,                0.80025,                0.76613,                0.30728,                0.81188,              0.0001684,              0.0001684,              0.0001684
                     86,                 0.3983,                0.20489,                0.77955,                 0.9878,                 0.9844,                0.99375,                 0.8004,                0.76619,                0.30638,                0.81183,              0.0001585,              0.0001585,              0.0001585
                     87,                0.40103,                0.20621,                0.77942,                0.98935,                0.98266,                0.99374,                0.80113,                0.76462,                0.30636,                0.81166,              0.0001486,              0.0001486,              0.0001486
                     88,                0.39934,                0.20589,                0.78056,                0.98827,                0.98388,                0.99374,                0.80058,                0.76582,                0.30642,                0.81189,              0.0001387,              0.0001387,              0.0001387
                     89,                0.40193,                0.20621,                0.77954,                 0.9882,                0.98357,                0.99372,                0.80084,                0.76607,                0.30704,                0.81188,              0.0001288,              0.0001288,              0.0001288
                     90,                0.40068,                0.20592,                0.78087,                0.98775,                0.98418,                0.99374,                 0.8006,                0.76546,                0.30678,                 0.8119,              0.0001189,              0.0001189,              0.0001189
                     91,                0.40451,                  0.207,                0.77993,                0.98757,                 0.9842,                0.99375,                0.80079,                0.76527,                0.30659,                0.81184,               0.000109,               0.000109,               0.000109
                     92,                0.40439,                0.20726,                0.77826,                0.98812,                 0.9837,                0.99375,                0.80078,                0.76593,                 0.3063,                0.81191,               9.91e-05,               9.91e-05,               9.91e-05
                     93,                0.40082,                0.20611,                0.78025,                0.98787,                0.98352,                0.99371,                0.80061,                0.76629,                0.30649,                0.81194,               8.92e-05,               8.92e-05,               8.92e-05
                     94,                0.40465,                0.20766,                0.78078,                0.98775,                0.98379,                0.99372,                0.80045,                0.76685,                0.30655,                0.81196,               7.93e-05,               7.93e-05,               7.93e-05
                     95,                0.40399,                0.20723,                0.77908,                0.98777,                0.98375,                0.99374,                0.80062,                0.76588,                0.30615,                0.81183,               6.94e-05,               6.94e-05,               6.94e-05
                     96,                0.39984,                0.20602,                0.77967,                0.98836,                0.98357,                0.99374,                0.80064,                0.76616,                0.30617,                0.81189,               5.95e-05,               5.95e-05,               5.95e-05
                     97,                0.39928,                0.20612,                0.77776,                0.98806,                0.98361,                0.99372,                0.80058,                 0.7659,                0.30655,                0.81184,               4.96e-05,               4.96e-05,               4.96e-05
                     98,                0.39469,                0.20329,                0.78083,                0.98797,                0.98406,                0.99375,                0.80106,                0.76529,                0.30628,                0.81182,               3.97e-05,               3.97e-05,               3.97e-05
                     99,                0.40175,                0.20559,                0.78094,                0.98771,                0.98438,                0.99375,                0.80088,                0.76569,                0.30636,                0.81181,               2.98e-05,               2.98e-05,               2.98e-05
                    100,                0.39862,                0.20582,                0.77831,                0.98796,                0.98388,                0.99371,                0.80057,                0.76625,                0.30632,                 0.8119,               1.99e-05,               1.99e-05,               1.99e-05
